Date,PG,KO,JNJ,WMT,MSFT,AAPL,MCD,HD,DOCU,META,NVDA,NFLX,AMD,TSLA,V,UNH,GOOGL,BRKb,JPM,PEP
22/11/2024,176.28,63.92,155.17,90.44,417.00,229.87,290.28,420.00,83.03,559.14,141.95,897.79,138.35,352.56,309.92,590.87,164.76,476.57,248.55,163.05
21/11/2024,172.75,63.76,155.50,88.39,412.87,228.52,288.47,410.45,80.15,563.09,146.67,897.48,137.49,339.64,309.90,597.49,167.63,472.06,244.76,162.00
20/11/2024,170.89,62.99,153.11,87.18,415.49,229.00,290.91,400.00,78.81,565.52,145.89,883.85,137.60,342.03,307.39,600.50,175.98,468.83,240.78,160.34
19/11/2024,170.76,62.59,153.00,86.60,417.79,228.28,290.73,406.80,79.52,561.09,147.01,871.32,139.39,346.00,311.85,577.00,178.12,468.86,243.09,158.74
18/11/2024,170.75,61.86,154.77,84.08,415.76,228.02,291.10,410.44,78.37,554.40,140.15,847.05,138.93,338.74,312.16,589.65,175.30,472.20,245.03,156.72
15/11/2024,169.54,61.74,154.00,84.25,415.00,225.00,292.63,408.18,79.11,554.08,141.98,823.96,134.90,320.72,309.64,592.23,172.49,470.28,245.31,158.33
14/11/2024,167.08,62.55,151.87,84.47,426.89,228.22,298.56,405.72,80.36,577.16,146.76,837.26,138.84,311.18,308.25,593.15,175.58,467.70,241.87,158.62
13/11/2024,166.58,63.00,153.24,85.50,425.20,225.12,297.35,410.19,81.81,580.00,146.27,830.47,139.30,330.24,309.48,605.87,178.88,468.10,241.16,165.15
12/11/2024,165.84,63.20,152.64,84.99,423.03,224.23,298.65,403.08,82.47,584.82,148.29,819.50,143.63,328.49,309.85,614.67,181.62,466.29,239.56,164.74
11/11/2024,166.03,63.36,155.04,84.21,418.01,224.23,301.53,408.29,81.22,583.17,145.26,805.44,147.35,350.00,310.92,625.25,180.35,467.36,239.29,164.34
8/11/2024,167.71,63.92,155.47,84.83,422.54,226.96,298.97,405.90,79.38,589.34,147.63,795.04,147.95,321.22,307.87,615.81,178.35,463.41,236.98,164.26
7/11/2024,163.41,63.66,156.73,83.85,425.43,227.48,294.66,399.44,76.47,591.70,148.88,796.54,149.82,296.91,305.80,605.45,180.75,460.13,236.38,165.11
6/11/2024,161.05,63.70,157.88,83.44,420.18,222.72,294.00,388.37,75.51,572.05,145.61,780.21,145.10,288.53,307.40,596.69,176.51,468.90,247.06,164.00
5/11/2024,165.76,65.37,158.35,83.68,411.46,223.45,297.32,400.09,72.25,572.43,139.91,763.91,141.66,251.44,293.29,567.03,169.74,445.06,221.49,164.71
4/11/2024,165.08,65.11,158.24,82.45,408.46,222.01,292.85,395.57,69.85,560.68,136.05,755.51,140.71,242.84,291.85,557.77,169.24,442.29,219.78,167.85
1/11/2024,165.10,65.01,160.13,82.19,410.37,222.91,295.21,392.59,71.11,567.16,135.40,756.10,141.86,248.98,290.74,567.56,171.29,452.14,222.94,166.34
31/10/2024,165.18,65.31,159.86,81.95,406.35,225.91,292.11,393.75,69.38,567.58,132.76,756.03,144.07,249.85,289.85,564.50,171.11,450.92,221.92,165.59
30/10/2024,166.16,65.92,160.61,81.39,432.53,230.10,291.52,392.52,68.98,591.80,139.34,753.74,148.60,257.55,290.16,562.96,174.46,454.96,224.41,166.08
29/10/2024,167.17,65.56,160.09,81.70,431.95,233.67,295.00,395.07,70.15,593.28,141.25,759.44,166.25,259.52,281.88,562.13,169.68,454.62,222.90,166.21
28/10/2024,169.30,66.67,161.60,82.75,426.59,233.40,296.79,402.89,69.58,578.16,140.52,749.12,159.92,262.51,284.19,565.24,166.72,458.49,225.50,167.50
25/10/2024,168.22,66.92,160.88,82.51,428.15,231.41,292.61,398.91,68.99,573.25,141.54,754.68,156.23,269.19,281.73,564.56,165.27,454.01,222.31,169.84
24/10/2024,169.62,67.30,163.67,83.04,424.73,230.57,301.58,402.68,70.58,567.78,140.41,754.55,153.44,260.48,283.22,560.81,162.72,457.77,224.98,171.79
23/10/2024,169.58,68.01,165.86,83.27,424.60,230.76,298.57,399.64,70.56,563.69,139.56,749.29,152.91,213.65,283.76,564.64,162.78,460.61,223.41,172.16
22/10/2024,169.70,69.45,163.45,82.02,427.51,235.86,314.69,401.85,70.68,582.01,143.59,764.24,154.09,217.97,284.79,569.86,165.14,461.45,224.12,172.95
21/10/2024,169.54,69.45,162.83,80.81,418.78,236.48,314.89,406.40,71.78,575.16,143.71,772.07,157.90,218.85,286.85,571.47,164.07,464.16,223.00,174.37
18/10/2024,171.28,70.44,165.12,81.31,418.16,235.00,316.56,415.00,72.30,576.47,138.00,763.89,155.97,220.70,290.62,569.61,163.42,464.80,225.37,175.01
17/10/2024,172.28,69.90,164.47,80.89,416.72,232.15,314.70,415.60,72.50,576.93,136.93,687.65,156.25,220.89,290.39,566.03,162.93,465.85,224.42,175.06
16/10/2024,172.38,70.57,164.28,81.22,416.12,231.78,312.92,418.61,72.60,576.79,135.72,702.00,156.13,221.33,287.52,571.34,165.16,465.69,223.64,174.67
15/10/2024,173.57,70.34,164.10,81.65,418.74,233.85,313.34,415.58,70.04,586.27,131.60,705.98,156.64,219.57,279.29,556.29,165.46,462.68,222.39,174.48
14/10/2024,172.51,70.34,161.60,80.29,419.14,231.30,309.84,415.42,68.86,590.42,138.07,713.00,165.27,219.16,280.68,605.40,164.96,459.98,221.48,175.90
11/10/2024,171.09,69.57,161.46,80.10,416.32,227.55,305.04,411.90,68.89,589.95,134.80,722.79,167.89,217.80,277.84,598.05,163.24,460.21,222.29,176.10
10/10/2024,168.95,69.25,160.51,79.61,415.84,229.04,304.04,409.96,69.22,583.83,134.81,730.29,164.18,238.77,277.47,597.70,162.08,454.93,212.84,174.81
9/10/2024,169.27,69.57,160.65,80.40,417.46,229.54,303.83,416.07,69.25,590.51,132.65,727.43,171.02,241.05,276.93,591.22,161.86,455.90,213.42,172.99
8/10/2024,168.16,69.18,159.69,79.71,414.71,225.77,301.90,414.18,66.89,592.89,132.89,721.76,172.80,244.50,274.96,581.58,164.38,453.80,210.75,172.54
7/10/2024,167.12,69.01,159.53,79.10,409.54,221.69,300.85,408.06,62.78,584.78,127.72,701.92,170.97,240.83,273.79,583.56,162.98,453.50,210.93,170.42
4/10/2024,168.88,70.17,160.29,80.94,416.06,226.80,303.76,408.36,63.84,595.94,124.92,719.70,170.90,250.08,277.93,591.20,167.06,461.97,211.22,167.21
3/10/2024,170.12,70.52,160.50,80.43,416.54,225.67,303.45,411.58,62.98,582.77,122.85,706.80,162.85,240.66,276.86,592.75,165.86,452.96,205.23,167.97
2/10/2024,171.92,71.01,161.17,80.43,417.13,226.78,303.76,411.26,62.33,572.81,118.85,711.09,159.78,249.02,277.00,592.31,165.86,456.67,207.29,168.53
1/10/2024,173.04,71.71,161.99,81.27,420.69,226.21,302.98,409.05,61.42,576.47,117.00,706.13,159.75,258.02,277.60,583.30,166.99,457.41,207.04,169.55
30/9/2024,173.20,71.86,162.06,80.75,430.30,233.00,304.51,405.20,62.09,572.44,121.44,709.27,164.08,261.63,274.95,584.68,165.85,460.26,210.86,171.38
27/9/2024,173.55,71.79,161.40,79.78,428.02,227.79,303.69,399.53,61.67,567.36,121.40,707.35,164.35,260.46,275.17,581.85,163.95,457.47,210.50,170.05
26/9/2024,173.21,71.40,161.39,79.92,431.31,227.52,303.65,396.70,62.53,567.84,124.04,711.43,167.49,254.22,271.69,574.81,162.73,454.18,209.78,170.00
25/9/2024,172.26,71.45,160.60,81.40,432.11,226.37,300.47,396.93,60.55,568.31,123.51,721.56,162.02,257.02,269.63,576.31,161.49,452.36,210.19,169.69
24/9/2024,173.24,71.33,162.78,80.67,429.17,227.37,300.27,400.66,58.66,563.33,120.87,722.26,158.32,254.27,272.78,575.19,162.29,454.56,211.59,169.40
23/9/2024,173.77,71.73,163.22,80.33,433.51,226.47,299.06,391.96,58.85,564.41,116.26,705.37,156.75,250.00,288.63,573.41,161.85,454.98,211.44,169.92
